Dataset,Familia,Modelo,Tamaño,Semilla,Serializacion,Estrategia,Shots,Tiempo carga (s),Tiempo seleccion (s),Tiempo inferencia (s),Accuracy,Precision,Recall,F1-score,Muestras,Invalidas
Cancer,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,27182,List,Few-shot,8,4.12,0.0016,0.6221,0.5143,0.55,0.5789,0.5641,35,0
Cancer,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,11235,List,Few-shot,8,4.12,0.0019,0.6208,0.6,0.619,0.6842,0.65,35,0
Cancer,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,16180,List,Few-shot,8,4.12,0.0015,0.621,0.6,0.6,0.7895,0.6818,35,0
Cancer,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,27182,Text,Zero-shot,0,4.12,0.0,0.4141,0.4571,0.0,0.0,0.0,35,0
Cancer,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,11235,Text,Zero-shot,0,4.12,0.0,0.414,0.4571,0.0,0.0,0.0,35,0
Cancer,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,16180,Text,Zero-shot,0,4.12,0.0,0.4143,0.4571,0.0,0.0,0.0,35,0
Cancer,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,27182,Text,Few-shot,1,4.12,0.0018,0.3587,0.5429,0.6154,0.4211,0.5,35,0
Cancer,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,11235,Text,Few-shot,1,4.12,0.0014,0.3591,0.6,0.6316,0.6316,0.6316,35,0
Cancer,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,16180,Text,Few-shot,1,4.12,0.0015,0.3587,0.5143,0.5556,0.5263,0.5405,35,0
Cancer,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,27182,Text,Few-shot,2,4.12,0.0014,0.3869,0.5429,0.6154,0.4211,0.5,35,0
Cancer,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,11235,Text,Few-shot,2,4.12,0.0018,0.3864,0.6286,0.65,0.6842,0.6667,35,0
Cancer,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,16180,Text,Few-shot,2,4.12,0.0014,0.3797,0.6,0.6087,0.7368,0.6667,35,0
Cancer,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,27182,Text,Few-shot,4,4.12,0.0014,0.4597,0.6286,0.6364,0.7368,0.6829,35,0
Cancer,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,11235,Text,Few-shot,4,4.12,0.0015,0.4604,0.6571,0.64,0.8421,0.7273,35,0
Cancer,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,16180,Text,Few-shot,4,4.12,0.0018,0.4596,0.5429,0.5556,0.7895,0.6522,35,0
Cancer,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,27182,Text,Few-shot,8,4.12,0.0016,0.6162,0.6,0.6316,0.6316,0.6316,35,0
Cancer,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,11235,Text,Few-shot,8,4.12,0.0016,0.6157,0.6286,0.6364,0.7368,0.6829,35,0
Cancer,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,16180,Text,Few-shot,8,4.12,0.0018,0.6156,0.5714,0.5833,0.7368,0.6512,35,0
Cancer,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,27182,List,Zero-shot,0,6.5,0.0,0.7812,0.4571,0.0,0.0,0.0,35,0
Cancer,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,11235,List,Zero-shot,0,6.5,0.0,0.781,0.4571,0.0,0.0,0.0,35,0
Cancer,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,16180,List,Zero-shot,0,6.5,0.0,0.7811,0.4571,0.0,0.0,0.0,35,0
Cancer,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,27182,List,Few-shot,1,6.5,0.0018,0.6813,0.5143,0.5417,0.6842,0.6047,35,0
Cancer,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,11235,List,Few-shot,1,6.5,0.0014,0.6815,0.6857,0.6818,0.7895,0.7317,35,0
Cancer,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,16180,List,Few-shot,1,6.5,0.0014,0.6814,0.5429,0.5652,0.6842,0.619,35,0
Cancer,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,27182,List,Few-shot,2,6.5,0.0015,0.7663,0.4857,0.52,0.6842,0.5909,35,0
Cancer,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,11235,List,Few-shot,2,6.5,0.0018,0.7662,0.6286,0.6875,0.5789,0.6286,35,0
Cancer,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,16180,List,Few-shot,2,6.5,0.0014,0.7653,0.6286,0.625,0.7895,0.6977,35,0
Cancer,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,27182,List,Few-shot,4,6.5,0.0018,0.9274,0.5429,0.5652,0.6842,0.619,35,0
Cancer,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,11235,List,Few-shot,4,6.5,0.0014,0.9269,0.6571,0.7059,0.6316,0.6667,35,0
Cancer,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,16180,List,Few-shot,4,6.5,0.0018,0.9272,0.6,0.6087,0.7368,0.6667,35,0
Cancer,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,27182,List,Few-shot,8,6.5,0.002,1.2438,0.5429,0.5714,0.6316,0.6,35,0
Cancer,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,11235,List,Few-shot,8,6.5,0.002,1.2421,0.6571,0.6842,0.6842,0.6842,35,0
Cancer,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,16180,List,Few-shot,8,6.5,0.0016,1.2431,0.5714,0.5909,0.6842,0.6341,35,0
Cancer,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,27182,Text,Zero-shot,0,6.5,0.0,0.7808,0.4857,1.0,0.0526,0.1,35,0
Cancer,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,11235,Text,Zero-shot,0,6.5,0.0,0.7808,0.4571,0.0,0.0,0.0,35,0
Cancer,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,16180,Text,Zero-shot,0,6.5,0.0,0.7809,0.4571,0.0,0.0,0.0,35,0
Cancer,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,27182,Text,Few-shot,1,6.5,0.0017,0.6798,0.5143,0.5455,0.6316,0.5854,35,0
Cancer,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,11235,Text,Few-shot,1,6.5,0.0014,0.6802,0.6857,0.7,0.7368,0.7179,35,0
Cancer,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,16180,Text,Few-shot,1,6.5,0.0018,0.6799,0.6,0.619,0.6842,0.65,35,0
Cancer,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,27182,Text,Few-shot,2,6.5,0.0014,0.7642,0.4857,0.5217,0.6316,0.5714,35,0
Cancer,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,11235,Text,Few-shot,2,6.5,0.0014,0.7626,0.6286,0.7143,0.5263,0.6061,35,0
Cancer,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,16180,Text,Few-shot,2,6.5,0.002,0.7372,0.6,0.6,0.7895,0.6818,35,0
Cancer,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,27182,Text,Few-shot,4,6.5,0.0015,0.8952,0.5714,0.5833,0.7368,0.6512,35,0
Cancer,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,11235,Text,Few-shot,4,6.5,0.0018,0.889,0.6571,0.7333,0.5789,0.6471,35,0
Cancer,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,16180,Text,Few-shot,4,6.5,0.0015,0.8895,0.5714,0.5909,0.6842,0.6341,35,0
Cancer,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,27182,Text,Few-shot,8,6.5,0.002,1.2302,0.5429,0.5714,0.6316,0.6,35,0
Cancer,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,11235,Text,Few-shot,8,6.5,0.002,1.2281,0.6857,0.7,0.7368,0.7179,35,0
Cancer,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,16180,Text,Few-shot,8,6.5,0.0021,1.2287,0.5714,0.5833,0.7368,0.6512,35,0
Cancer,Qwen,Qwen/Qwen2.5-72B-Instruct,Large,27182,List,Zero-shot,0,19.9,0.0,4.695,0.5143,1.0,0.1053,0.1905,35,0
Cancer,Qwen,Qwen/Qwen2.5-72B-Instruct,Large,11235,List,Zero-shot,0,19.9,0.0,4.6953,0.4571,0.5,0.0526,0.0952,35,0
Cancer,Qwen,Qwen/Qwen2.5-72B-Instruct,Large,16180,List,Zero-shot,0,19.9,0.0,4.6955,0.4571,0.5,0.0526,0.0952,35,0
Cancer,Qwen,Qwen/Qwen2.5-72B-Instruct,Large,27182,List,Few-shot,1,19.9,0.0019,3.1515,0.5143,0.5385,0.7368,0.6222,35,0
Cancer,Qwen,Qwen/Qwen2.5-72B-Instruct,Large,11235,List,Few-shot,1,19.9,0.0019,3.1523,0.6571,0.6667,0.7368,0.7,35,0
Cancer,Qwen,Qwen/Qwen2.5-72B-Instruct,Large,16180,List,Few-shot,1,19.9,0.0019,3.1515,0.4286,0.48,0.6316,0.5455,35,0
Cancer,Qwen,Qwen/Qwen2.5-72B-Instruct,Large,27182,List,Few-shot,2,19.9,0.0019,3.3464,0.5714,0.5769,0.7895,0.6667,35,0
Cancer,Qwen,Qwen/Qwen2.5-72B-Instruct,Large,11235,List,Few-shot,2,19.9,0.0019,3.3457,0.6286,0.6875,0.5789,0.6286,35,0
Cancer,Qwen,Qwen/Qwen2.5-72B-Instruct,Large,16180,List,Few-shot,2,19.9,0.0019,3.3431,0.4857,0.5238,0.5789,0.55,35,0
Cancer,Qwen,Qwen/Qwen2.5-72B-Instruct,Large,27182,List,Few-shot,4,19.9,0.0019,4.1573,0.6286,0.65,0.6842,0.6667,35,0
